Timestamp,RL,RR,MR
20211028-1115,12450,4230,6
20211029-1111,12448,4234,6
20211030-1112,12447,4234,6
20211031-1107,12441,4233,6
20211101-1107,12436,4233,6
20211102-1119,12436,4234,6
20211103-1117,12449,4239,6
20211104-1045,12458,4238,6
20211105-1112,12453,4242,6
20211106-1101,12467,4247,6
20211107-1213,12462,4245,6
20211108-1102,12455,4242,6
20211109-1052,12462,4239,6
20211110-1105,12457,4233,6
20211111-1105,12453,4232,6
20211112-1102,12458,4233,6
20211113-1107,12463,4232,6
20211114-1058,12458,4230,6
20211115-1050,12454,4228,6
20211116-1102,12462,4229,6
20211117-1106,12470,4234,6
20211118-1058,12488,4242,6
20211119-1047,12499,4247,6
20211120-1058,12498,4250,6
20211121-1047,12492,4249,6
20211122-1103,12487,4247,6
20211123-1103,12507,4244,6
20211124-1102,12518,4245,6
20211125-1057,12518,4249,6
20211126-1037,12525,4246,6
20211127-1036,12530,4250,6
20211128-1017,12523,4249,6
20211129-1020,12516,4249,6
20211130-1051,12518,4250,6
20211201-1046,12529,4251,6
20211202-1026,12534,4251,6
20211203-1041,12535,4252,6
20211204-1018,12543,4252,6
20211205-1048,12537,4248,6
20211206-1051,12528,4244,6
20211207-1035,12533,4246,6
20211208-1022,12532,4250,6
20211209-1047,12534,4255,6
20211210-1128,12536,4261,6
20211211-1023,12554,4264,6
20211212-1018,12548,4261,6
20211213-1048,12542,4258,6
20211214-1042,12553,4263,6
20211215-1023,12560,4266,6
20211216-1028,12564,4264,6
20211217-1057,12575,4267,6
20211218-1038,12577,4271,6
20211219-1027,12572,4267,6
20211220-1055,12566,4262,6
20211221-1052,12571,4265,6
20211222-1023,12576,4263,6
20211223-1042,12597,4272,6
20211224-1022,12600,4281,6
20211225-1023,12620,4294,6
20211226-1105,12619,4294,6
20211227-1104,12615,4293,6
20211228-1106,12605,4291,6
20211229-1108,12608,4295,6
20211230-1112,12619,4302,6
20211231-1107,12643,4305,6
20220101-1103,12644,4304,6
20220102-1058,12635,4302,6
20220103-1108,12632,4299,6
20220104-1101,12633,4300,6
20220105-1113,12631,4299,6
20220106-1105,12638,4303,6
20220107-1057,12645,4307,6
20220108-1107,12644,4307,6
20220109-1052,12640,4303,6
20220110-1053,12634,4297,6
20220111-1128,12641,4302,6
20220112-1050,12640,4305,6
20220113-1050,12642,4300,6
20220114-1050,12648,4300,6
20220115-1046,12653,4300,6
20220116-1040,12647,4298,6
20220117-1110,12642,4293,6
20220118-1048,12652,4294,6
20220120-2321,12665,4304,6
20220121-1123,12681,4309,6
20220122-1103,12694,4314,6
20220123-1108,12689,4310,6
20220124-1115,12688,4307,6
20220125-1112,12719,4315,6
20220126-1118,12725,4312,6
20220127-1113,12730,4320,6
20220128-1121,12743,4326,6
20220129-1053,12754,4332,6
20220130-1108,12752,4332,6
20220131-1102,12747,4332,6
20220201-1108,12758,4337,6
20220202-1105,12746,4335,6
20220203-1052,12736,4328,6
20220204-1101,12723,4325,6
20220205-1102,12725,4327,6
20220206-1101,12723,4324,6
20220207-1056,12713,4321,6
20220208-1053,12719,4323,6
20220209-1107,12737,4322,6
20220210-1057,12740,4328,6
20220211-1116,12750,4332,6
20220212-1115,12760,4330,6
20220213-1058,12757,4329,6
20220214-1058,12753,4326,6
20220215-1135,12778,4335,6
20220216-1117,12795,4333,6
20220217-1125,12818,4349,6
20220218-1134,12839,4359,6
20220219-1111,12876,4372,6
20220220-1104,12869,4370,6
20220221-1137,12864,4367,6
20220222-1113,12863,4370,6
20220223-1117,12865,4371,6
20220224-1118,12863,4374,6
20220225-1112,12868,4375,6
20220226-1110,12863,4376,6
20220227-1107,12856,4374,6
20220228-1112,12838,4366,6
20220301-1102,12829,4357,6
20220302-1122,12829,4354,6
20220303-1112,12823,4354,6
20220304-1116,12822,4355,6
20220305-1102,12814,4355,6
20220306-1104,12804,4349,6
20220308-1116,12786,4344,6
20220309-1122,12789,4346,6
20220310-1055,12791,4343,6
20220311-1110,12795,4342,6
20220312-1104,12793,4346,6
20220314-1122,12770,4338,6
20220315-1035,12771,4338,6
20220316-1028,12771,4345,6
20220317-1012,12771,4351,6
20220318-1015,12785,4356,6
20220319-1007,12808,4362,6
20220320-1025,12792,4362,6
20220321-1031,12783,4358,6
20220322-1030,12802,4364,6
20220323-1013,12838,4371,6
20220324-1033,12845,4377,6
20220325-1035,12851,4374,6
20220326-1028,12853,4376,6
20220327-1026,12843,4373,6
20220328-1035,12828,4369,6
20220329-1008,12837,4368,6
20220330-1028,12840,4373,6
20220331-1036,12844,4379,6
20220401-1041,12849,4374,6
20220402-1123,12851,4378,6
20220403-1128,12841,4375,6
20220404-1137,12836,4371,6
20220405-1142,12844,4372,6
20220406-1117,12829,4365,6
20220407-1142,12827,4362,6
20220408-1133,12834,4363,6
20220409-1133,12842,4366,6
20220410-1103,12832,4364,6
20220411-1148,12818,4356,6
20220412-1143,12830,4357,6
20220413-1133,12840,4361,6
20220414-1128,12832,4367,6
20220415-1138,12833,4368,6
20220416-1123,12819,4362,6
20220417-1127,12810,4358,6
20220418-1103,12795,4353,6
20220419-1138,12776,4344,6
20220420-1132,12786,4345,6
20220421-1327,12784,4343,6
20220422-1123,12781,4348,6
20220423-1103,12775,4341,6
20220424-1137,12764,4329,6
20220425-1147,12749,4322,6
20220426-1137,12745,4329,6
20220427-1123,12751,4325,6
20220428-1143,12751,4337,6
20220429-1010,12773,4338,6
20220430-1028,12789,4350,6
20220501-1027,12768,4344,6
20220502-1037,12742,4341,6
20220503-1843,12725,4331,6
20220504-1035,12731,4340,6
20220505-1141,12745,4338,6
20220506-1043,12763,4340,6
20220507-1042,12762,4339,6
20220508-1036,12748,4333,6
20220509-1041,12735,4325,6
20220510-1148,12714,4323,6
20220511-1041,12720,4324,6
20220512-1038,12732,4330,6
20220513-1042,12744,4329,6
20220514-1036,12749,4334,6
20220515-1026,12734,4329,6
20220516-1030,12723,4323,6
20220517-1052,12727,4327,6
20220518-1041,12740,4333,6
20220519-1028,12736,4334,6
20220520-1052,12755,4337,6
20220521-1030,12766,4343,6
20220522-1033,12755,4338,6
20220523-1041,12737,4330,6
20220524-1036,12745,4324,6
20220525-1143,12763,4324,6
20220526-1133,12766,4321,6
20220527-1132,12766,4323,6
20220528-1128,12778,4326,6
20220529-1127,12770,4324,6
20220530-1133,12764,4319,6
20220531-1137,12772,4313,6
20220601-1152,12775,4316,6
20220602-1148,12767,4319,6
20220603-1143,12768,4315,6
20220604-1142,12756,4311,6
20220605-1117,12744,4308,6
20220606-1147,12729,4301,6
20220607-1128,12746,4304,6
20220608-1143,12756,4307,6
20220609-1207,12758,4304,6
20220610-1758,12771,4309,6
20220611-1908,12779,4315,6
20220612-1734,12769,4313,6
20220613-1938,12758,4309,6
20220614-1458,12763,4307,6
20220615-1218,12772,4311,6
20220616-1158,12771,4310,6
20220617-1157,12779,4314,6
20220618-1152,12787,4321,6
20220619-1127,12770,4319,6
20220620-1208,12754,4316,6
20220621-1207,12766,4316,6
20220622-1102,12776,4323,6
20220623-1110,12784,4325,6
20220624-1103,12785,4329,6
20220625-1053,12795,4333,6
20220626-1056,12787,4332,6
20220627-1101,12773,4331,6
20220628-1106,12775,4326,6
20220629-1058,12783,4332,6
20220630-1103,12607,4280,6
