Timestamp,RL,RR,MR
20231229-1056,13059,4458,5
20231230-1102,13072,4463,5
20231231-1047,13072,4463,5
20240101-1050,13063,4458,5
20240102-1056,13049,4455,5
20240103-1058,13050,4457,5
20240104-1051,13054,4460,5
20240105-1053,13058,4463,5
20240106-1046,13069,4460,5
20240107-1052,13061,4457,5
20240108-1118,13050,4453,5
20240109-1110,13048,4455,5
20240110-1117,13050,4459,5
20240111-1118,13056,4467,5
20240112-1120,13057,4471,5
20240113-1048,13065,4474,5
20240114-1041,13057,4471,5
20240115-1108,13046,4468,5
20240116-1051,13057,4464,5
20240117-1102,13055,4466,5
20240118-1111,13057,4461,5
20240119-1104,13060,4462,5
20240120-1043,13072,4464,5
20240121-1043,13069,4459,5
20240122-1051,13057,4457,5
20240123-1121,13062,4464,5
20240124-1052,13063,4465,5
20240125-1052,13064,4467,5
20240126-1057,13064,4468,5
20240127-1047,13069,4471,5
20240128-1048,13063,4466,5
20240129-1053,13055,4463,5
20240130-1116,13061,4460,5
20240131-1122,13068,4461,5
20240201-1116,13084,4462,5
20240202-1111,13083,4469,5
20240203-1056,13088,4479,5
20240204-1048,13078,4478,5
20240205-1106,13074,4476,5
20240206-1122,13082,4477,5
20240207-1106,13084,4482,5
20240208-1120,13088,4481,5
20240209-1057,13087,4481,5
20240214-1053,13065,4461,5
20240215-1103,13058,4460,5
20240216-1105,13051,4457,5
20240217-1048,13042,4452,5
20240218-1048,13037,4451,5
20240219-1116,13031,4451,5
20240220-1121,13027,4454,5
20240221-1052,13035,4453,5
20240222-1055,13036,4454,5
20240224-1102,13043,4461,5
20240225-1128,13036,4456,5
20240226-1103,13030,4453,5
20240227-1115,13041,4456,5
